Code_Client,Date Achat,Numero Commande,Numero Ligne Produit,Code Produit,Quantite,PrixVenteTTCHorsRemise,PrixVenteTTCAvecRemise,Heure,Code Magasin,CodeVendeur,Montant
495501.000,2017-01-01 00:00:00,12026.000,2.000,25441.000,1.000,41.333,41.333,1639.000,10000.000,28.000,41.333
495501.000,2017-01-01 00:00:00,12026.000,1.000,23768.000,1.000,32.400,32.400,1639.000,10001.000,28.000,32.400
1797430.000,2017-01-01 00:00:00,12001.000,3.000,82509.000,1.000,0.667,0.000,1607.000,10002.000,20.000,0.667
2248471.000,2017-01-01 00:00:00,12060.000,2.000,1856.000,1.000,12.000,11.400,1830.000,10002.000,31.000,12.000
2248499.000,2017-01-01 00:00:00,12004.000,1.000,36367.000,1.000,47.587,47.587,1610.000,10002.000,23.000,47.587
2248528.000,2017-01-01 00:00:00,12024.000,1.000,87914.000,1.000,11.600,11.600,1632.000,10001.000,4.000,11.600
2248820.000,2017-01-01 00:00:00,12057.000,5.000,72607.000,1.000,10.533,10.533,1820.000,10000.000,26.000,10.533
2248820.000,2017-01-01 00:00:00,12057.000,4.000,90140.000,1.000,6.933,6.933,1820.000,10000.000,26.000,6.933
2255804.000,2017-01-01 00:00:00,12067.000,1.000,89462.000,1.000,26.587,26.587,1906.000,10001.000,26.000,26.587
2267053.000,2017-01-01 00:00:00,12053.000,1.000,79081.000,1.000,100.800,100.800,1808.000,10000.000,31.000,100.800
2273576.000,2017-01-01 00:00:00,11992.000,2.000,99519.000,1.000,8.653,8.653,1542.000,10001.000,28.000,8.653
2273576.000,2017-01-01 00:00:00,11992.000,1.000,24153.000,1.000,69.600,69.600,1542.000,10000.000,28.000,69.600
2274160.000,2017-01-02 00:00:00,12058.000,2.000,22267.000,1.000,6.000,5.067,1826.000,10002.000,31.000,6.000
2274473.000,2017-01-02 00:00:00,12022.000,1.000,91937.000,1.000,35.253,35.253,1630.000,10000.000,4.000,35.253
2274696.000,2017-01-02 00:00:00,12019.000,1.000,17003.000,1.000,91.747,91.747,1625.000,10000.000,4.000,91.747
2274741.000,2017-01-02 00:00:00,12061.000,3.000,71194.000,1.000,16.667,8.987,1831.000,10002.000,31.000,16.667
2274741.000,2017-01-02 00:00:00,12061.000,1.000,2971.000,1.000,5.360,2.893,1831.000,10000.000,31.000,5.360
2274924.000,2017-01-02 00:00:00,11931.000,1.000,100326.000,1.000,24.400,20.253,1247.000,10001.000,4.000,24.400
2274924.000,2017-01-02 00:00:00,11931.000,3.000,50518.000,1.000,25.547,21.200,1247.000,10002.000,4.000,25.547
3457810.000,2017-01-04 00:00:00,16555.000,1.000,72994.000,1.000,17.107,17.107,1832.000,10002.000,23.000,17.107
3457810.000,2017-01-04 00:00:00,16555.000,3.000,97493.000,1.000,54.267,54.267,1832.000,10002.000,23.000,54.267
3506886.000,2017-01-04 00:00:00,16374.000,1.000,101327.000,1.000,29.867,27.013,1035.000,10001.000,24.000,29.867
3506886.000,2017-01-04 00:00:00,16374.000,2.000,80383.000,1.000,43.333,39.187,1035.000,10000.000,24.000,43.333
